,Element,Line,Type,Energy
233,Zn,Mz,Emission Line,9.2
249,Ga,Mz,Emission Line,16.7
266,Ge,Mz,Emission Line,26.8
284,As,Mz,Emission Line,38.7
33,Mg,Ll,Emission Line,47.21
32,Mg,Ln,Emission Line,47.6
0,Li,Ka3,Emission Line,49.4
302,Se,Mz,Emission Line,52.5
320,Br,Mz,Emission Line,67.0
42,Al,Ll,Emission Line,68.5
41,Al,Ln,Emission Line,68.9
338,Kr,Mz,Emission Line,80.9
31,Mg,Lb3,Emission Line,87.6
30,Mg,Lb4,Emission Line,87.6
51,Si,Ll,Emission Line,91.2
50,Si,Ln,Emission Line,91.8
356,Rb,Mz,Emission Line,96.7
1,Be,Ka3,Emission Line,103.5
2,Be,Ka2,Emission Line,108.5
3,Be,Ka1,Emission Line,108.5
374,Sr,Mz,Emission Line,114.4
39,Al,Lb4,Emission Line,115.8
40,Al,Lb3,Emission Line,115.8
60,P,Ll,Emission Line,123.0
59,P,Ln,Emission Line,124.0
392,Y,Mz,Emission Line,133.3
49,Si,Lb3,Emission Line,147.7
48,Si,Lb4,Emission Line,147.7
69,S,Ll,Emission Line,148.5
68,S,Ln,Emission Line,149.6
410,Zr,Mz,Emission Line,152.6
428,Nb,Mz,Emission Line,172.4
4,B,Ka3,Emission Line,175.4
78,Cl,Ll,Emission Line,182.0
57,P,Lb4,Emission Line,182.0
58,P,Lb3,Emission Line,183.0
5,B,Ka2,Emission Line,183.3
6,B,Ka1,Emission Line,183.3
77,Cl,Ln,Emission Line,184.0
446,Mo,Mz,Emission Line,193.5
464,Tc,Mz,Emission Line,215.3
87,Ar,Ll,Emission Line,219.1
86,Ar,Ln,Emission Line,221.3
66,S,Lb4,Emission Line,222.9
67,S,Lb3,Emission Line,223.9
482,Ru,Mz,Emission Line,237.9
96,K,Ll,Emission Line,259.8
75,Cl,Lb4,Emission Line,260.0
76,Cl,Lb3,Emission Line,260.0
504,Rh,Mz,Emission Line,261.4
95,K,Ln,Emission Line,262.5
7,C,Ka3,Emission Line,266.2
9,C,Ka1,Emission Line,277.0
8,C,Ka2,Emission Line,277.0
526,Pd,Mz,Emission Line,284.8
105,Ca,Ll,Emission Line,301.9
104,Ca,Ln,Emission Line,305.4
548,Ag,Mz,Emission Line,310.3
84,Ar,Lb4,Emission Line,310.4
85,Ar,Lb3,Emission Line,310.6
114,Sc,Ll,Emission Line,347.6
570,Cd,Mz,Emission Line,348.0
113,Sc,Ln,Emission Line,352.5
93,K,Lb4,Emission Line,360.3
94,K,Lb3,Emission Line,360.3
10,N,Ka3,Emission Line,372.6
592,In,Mz,Emission Line,377.9
11,N,Ka2,Emission Line,392.4
12,N,Ka1,Emission Line,392.4
125,Ti,Ll,Emission Line,395.1
123,Ti,Ln,Emission Line,401.5
614,Sn,Mz,Emission Line,409.6
103,Ca,Lb3,Emission Line,413.0
102,Ca,Lb4,Emission Line,413.0
636,Sb,Mz,Emission Line,441.9
138,V,Ll,Emission Line,445.8
126,Ti,La2,Emission Line,451.8
127,Ti,La1,Emission Line,451.8
136,V,Ln,Emission Line,453.5
124,Ti,Lb1,Emission Line,458.2
112,Sc,Lb3,Emission Line,469.7
111,Sc,Lb4,Emission Line,469.7
660,Te,Mz,Emission Line,480.1
503,Rh,Mg,Emission Line,494.5
151,Cr,Ll,Emission Line,500.0
13,O,Ka3,Emission Line,501.5
684,I,Mz,Emission Line,507.8
149,Cr,Ln,Emission Line,509.7
140,V,La1,Emission Line,510.1
139,V,La2,Emission Line,510.1
137,V,Lb1,Emission Line,517.8
14,O,Ka2,Emission Line,524.9
15,O,Ka1,Emission Line,524.9
638,Sb,Ma,Emission Line,528.2
121,Ti,Lb4,Emission Line,528.3
122,Ti,Lb3,Emission Line,528.3
525,Pd,Mg,Emission Line,530.3
637,Sb,Mb,Emission Line,537.5
708,Xe,Mz,Emission Line,542.3
164,Mn,Ll,Emission Line,556.4
162,Mn,Ln,Emission Line,567.6
732,Cs,Mz,Emission Line,568.1
547,Ag,Mg,Emission Line,569.0
152,Cr,La2,Emission Line,572.1
153,Cr,La1,Emission Line,572.1
662,Te,Ma,Emission Line,573.0
150,Cr,Lb1,Emission Line,581.8
661,Te,Mb,Emission Line,583.4
135,V,Lb3,Emission Line,589.5
134,V,Lb4,Emission Line,589.5
756,Ba,Mz,Emission Line,603.7
569,Cd,Mg,Emission Line,607.7
177,Fe,Ll,Emission Line,615.5
686,I,Ma,Emission Line,619.3
175,Fe,Ln,Emission Line,628.6
685,I,Mb,Emission Line,630.8
166,Mn,La1,Emission Line,636.7
165,Mn,La2,Emission Line,636.7
780,La,Mz,Emission Line,647.2
163,Mn,Lb1,Emission Line,647.9
591,In,Mg,Emission Line,648.4
16,F,Ka3,Emission Line,651.7
147,Cr,Lb4,Emission Line,653.8
148,Cr,Lb3,Emission Line,653.8
710,Xe,Ma,Emission Line,676.4
18,F,Ka1,Emission Line,676.8
17,F,Ka2,Emission Line,676.8
190,Co,Ll,Emission Line,677.1
804,Ce,Mz,Emission Line,679.2
709,Xe,Mb,Emission Line,689.0
613,Sn,Mg,Emission Line,690.7
188,Co,Ln,Emission Line,692.2
178,Fe,La2,Emission Line,704.8
179,Fe,La1,Emission Line,704.8
828,Pr,Mz,Emission Line,712.0
176,Fe,Lb1,Emission Line,717.9
160,Mn,Lb4,Emission Line,721.9
161,Mn,Lb3,Emission Line,721.9
734,Cs,Ma,Emission Line,726.6
635,Sb,Mg,Emission Line,734.3
733,Cs,Mb,Emission Line,740.5
203,Ni,Ll,Emission Line,741.9
201,Ni,Ln,Emission Line,759.2
852,Nd,Mz,Emission Line,760.0
192,Co,La1,Emission Line,775.1
191,Co,La2,Emission Line,775.1
659,Te,Mg,Emission Line,780.4
758,Ba,Ma,Emission Line,780.5
189,Co,Lb1,Emission Line,790.2
173,Fe,Lb4,Emission Line,791.9
174,Fe,Lb3,Emission Line,791.9
757,Ba,Mb,Emission Line,795.7
876,Pm,Mz,Emission Line,810.0
216,Cu,Ll,Emission Line,810.2
19,Ne,Ka3,Emission Line,821.7
683,I,Mg,Emission Line,826.1
214,Cu,Ln,Emission Line,829.8
782,La,Ma,Emission Line,836.0
900,Sm,Mz,Emission Line,845.3
20,Ne,Ka2,Emission Line,848.5
21,Ne,Ka1,Emission Line,848.6
205,Ni,La1,Emission Line,848.7
204,Ni,La2,Emission Line,848.7
781,La,Mb,Emission Line,853.0
187,Co,Lb3,Emission Line,865.2
202,Ni,Lb1,Emission Line,866.0
186,Co,Lb4,Emission Line,866.2
707,Xe,Mg,Emission Line,873.1
924,Eu,Mz,Emission Line,874.6
230,Zn,Ll,Emission Line,882.0
806,Ce,Ma,Emission Line,883.7
805,Ce,Mb,Emission Line,902.3
228,Zn,Ln,Emission Line,905.1
731,Cs,Mg,Emission Line,925.5
830,Pr,Ma,Emission Line,926.8
217,Cu,La2,Emission Line,927.7
218,Cu,La1,Emission Line,927.7
948,Gd,Mz,Emission Line,935.9
199,Ni,Lb4,Emission Line,940.6
200,Ni,Lb3,Emission Line,942.4
829,Pr,Mb,Emission Line,946.3
215,Cu,Lb1,Emission Line,947.3
972,Tb,Mz,Emission Line,954.5
246,Ga,Ll,Emission Line,956.89
755,Ba,Mg,Emission Line,973.1
854,Nd,Ma,Emission Line,978.9
244,Ga,Ln,Emission Line,983.69
996,Dy,Mz,Emission Line,999.5
853,Nd,Mb,Emission Line,1001.8
22,Na,Ka3,Emission Line,1007.3
231,Zn,La2,Emission Line,1011.6
232,Zn,La1,Emission Line,1011.7
212,Cu,Lb4,Emission Line,1019.4
213,Cu,Lb3,Emission Line,1021.6
878,Pm,Ma,Emission Line,1023.0
779,La,Mg,Emission Line,1025.5
229,Zn,Lb1,Emission Line,1034.7
262,Ge,Ll,Emission Line,1036.9
24,Na,Ka1,Emission Line,1040.3
23,Na,Ka2,Emission Line,1040.4
877,Pm,Mb,Emission Line,1048.0
1020,Ho,Mz,Emission Line,1048.5
260,Ge,Ln,Emission Line,1068.0
803,Ce,Mg,Emission Line,1078.0
902,Sm,Ma,Emission Line,1078.2
1044,Er,Mz,Emission Line,1086.8
248,Ga,La1,Emission Line,1097.7
247,Ga,La2,Emission Line,1097.7
225,Zn,Lb4,Emission Line,1104.8
901,Sm,Mb,Emission Line,1105.7
226,Zn,Lb3,Emission Line,1107.6
280,As,Ll,Emission Line,1118.9
926,Eu,Ma,Emission Line,1121.5
245,Ga,Lb1,Emission Line,1124.5
827,Pr,Mg,Emission Line,1126.9
1068,Tm,Mz,Emission Line,1129.1
925,Eu,Mb,Emission Line,1152.6
278,As,Ln,Emission Line,1154.4
851,Nd,Mg,Emission Line,1176.5
950,Gd,Ma,Emission Line,1181.0
263,Ge,La2,Emission Line,1187.2
1092,Yb,Mz,Emission Line,1187.3
264,Ge,La1,Emission Line,1187.8
227,Zn,Lg2,Emission Line,1195.2
240,Ga,Lb4,Emission Line,1195.5
241,Ga,Lb3,Emission Line,1199.0
298,Se,Ll,Emission Line,1204.3
265,Ge,Lb6,Emission Line,1212.0
949,Gd,Mb,Emission Line,1213.3
25,Mg,Ka3,Emission Line,1214.4
261,Ge,Lb1,Emission Line,1218.3
1116,Lu,Mz,Emission Line,1226.6
974,Tb,Ma,Emission Line,1233.4
875,Pm,Mg,Emission Line,1237.0
296,Se,Ln,Emission Line,1244.7
26,Mg,Ka2,Emission Line,1253.4
27,Mg,Ka1,Emission Line,1253.79
973,Tb,Mb,Emission Line,1269.2
1140,Hf,Mz,Emission Line,1277.8
282,As,La1,Emission Line,1281.9
281,As,La2,Emission Line,1281.9
998,Dy,Ma,Emission Line,1284.0
256,Ge,Lb4,Emission Line,1289.7
899,Sm,Mg,Emission Line,1290.8
316,Br,Ll,Emission Line,1293.0
257,Ge,Lb3,Emission Line,1293.8
242,Ga,Lg2,Emission Line,1297.0
243,Ga,Lg3,Emission Line,1297.0
29,Mg,Kb1,Emission Line,1302.0
28,Mg,Kb3,Emission Line,1302.0
283,As,Lb6,Emission Line,1315.6
279,As,Lb1,Emission Line,1317.4
997,Dy,Mb,Emission Line,1325.0
1164,Ta,Mz,Emission Line,1329.6
314,Br,Ln,Emission Line,1339.0
1022,Ho,Ma,Emission Line,1342.4
923,Eu,Mg,Emission Line,1353.3
299,Se,La2,Emission Line,1378.4
300,Se,La1,Emission Line,1379.3
274,As,Lb4,Emission Line,1380.8
1188,W,Mz,Emission Line,1381.6
1021,Ho,Mb,Emission Line,1383.4
334,Kr,Ll,Emission Line,1385.6
275,As,Lb3,Emission Line,1385.8
947,Gd,Mg,Emission Line,1401.4
1046,Er,Ma,Emission Line,1404.3
259,Ge,Lg3,Emission Line,1411.6
258,Ge,Lg2,Emission Line,1411.6
297,Se,Lb1,Emission Line,1418.8
301,Se,Lb6,Emission Line,1421.9
1212,Re,Mz,Emission Line,1430.3
332,Kr,Ln,Emission Line,1438.1
34,Al,Ka3,Emission Line,1441.2
1045,Er,Mb,Emission Line,1448.3
971,Tb,Mg,Emission Line,1460.5
1070,Tm,Ma,Emission Line,1463.4
352,Rb,Ll,Emission Line,1477.3
317,Br,La2,Emission Line,1480.0
318,Br,La1,Emission Line,1481.0
1236,Os,Mz,Emission Line,1481.9
292,Se,Lb4,Emission Line,1485.5
35,Al,Ka2,Emission Line,1486.1
36,Al,Ka1,Emission Line,1486.5
293,Se,Lb3,Emission Line,1491.3
1069,Tm,Mb,Emission Line,1510.4
995,Dy,Mg,Emission Line,1522.4
319,Br,Lb6,Emission Line,1523.0
276,As,Lg2,Emission Line,1524.0
277,As,Lg3,Emission Line,1524.0
1094,Yb,Ma,Emission Line,1525.5
315,Br,Lb1,Emission Line,1526.0
350,Rb,Ln,Emission Line,1537.3
1260,Ir,Mz,Emission Line,1538.2
38,Al,Kb1,Emission Line,1557.0
37,Al,Kb3,Emission Line,1557.0
1093,Yb,Mb,Emission Line,1573.5
1118,Lu,Ma,Emission Line,1580.1
1019,Ho,Mg,Emission Line,1581.0
370,Sr,Ll,Emission Line,1581.3
335,Kr,La2,Emission Line,1583.4
336,Kr,La1,Emission Line,1584.6
1284,Pt,Mz,Emission Line,1592.9
310,Br,Lb4,Emission Line,1593.0
311,Br,Lb3,Emission Line,1600.0
1117,Lu,Mb,Emission Line,1630.1
333,Kr,Lb1,Emission Line,1635.9
1043,Er,Mg,Emission Line,1644.4
1142,Hf,Ma,Emission Line,1646.1
368,Sr,Ln,Emission Line,1648.3
1310,Au,Mz,Emission Line,1648.3
295,Se,Lg3,Emission Line,1649.0
294,Se,Lg2,Emission Line,1649.0
337,Kr,Lb6,Emission Line,1650.9
388,Y,Ll,Emission Line,1688.0
43,Si,Ka3,Emission Line,1689.3
353,Rb,La2,Emission Line,1691.0
354,Rb,La1,Emission Line,1692.0
328,Kr,Lb4,Emission Line,1698.8
1141,Hf,Mb,Emission Line,1700.1
1336,Hg,Mz,Emission Line,1704.8
329,Kr,Lb3,Emission Line,1706.6
1067,Tm,Mg,Emission Line,1709.5
1166,Ta,Ma,Emission Line,1711.5
44,Si,Ka2,Emission Line,1739.2
45,Si,Ka1,Emission Line,1739.8
351,Rb,Lb1,Emission Line,1751.0
386,Y,Ln,Emission Line,1764.0
1362,Tl,Mz,Emission Line,1764.5
1091,Yb,Mg,Emission Line,1767.6
1165,Ta,Mb,Emission Line,1769.5
355,Rb,Lb6,Emission Line,1773.5
1190,W,Ma,Emission Line,1775.4
312,Br,Lg2,Emission Line,1779.0
313,Br,Lg3,Emission Line,1779.0
406,Zr,Ll,Emission Line,1792.7
371,Sr,La2,Emission Line,1804.0
372,Sr,La1,Emission Line,1805.8
346,Rb,Lb4,Emission Line,1816.3
1388,Pb,Mz,Emission Line,1824.1
347,Rb,Lb3,Emission Line,1825.9
1115,Lu,Mg,Emission Line,1827.7
47,Si,Kb1,Emission Line,1837.0
46,Si,Kb3,Emission Line,1837.0
1189,W,Mb,Emission Line,1838.4
1214,Re,Ma,Emission Line,1840.1
369,Sr,Lb1,Emission Line,1871.0
404,Zr,Ln,Emission Line,1876.7
1414,Bi,Mz,Emission Line,1882.8
1139,Hf,Mg,Emission Line,1895.5
373,Sr,Lb6,Emission Line,1901.1
424,Nb,Ll,Emission Line,1904.4
1213,Re,Mb,Emission Line,1906.1
1238,Os,Ma,Emission Line,1906.6
331,Kr,Lg3,Emission Line,1906.9
330,Kr,Lg2,Emission Line,1906.9
389,Y,La2,Emission Line,1922.3
390,Y,La1,Emission Line,1924.2
364,Sr,Lb4,Emission Line,1935.7
365,Sr,Lb3,Emission Line,1946.0
1440,Po,Mz,Emission Line,1947.0
52,P,Ka3,Emission Line,1956.5
1163,Ta,Mg,Emission Line,1967.6
1262,Ir,Ma,Emission Line,1976.2
1237,Os,Mb,Emission Line,1977.6
387,Y,Lb1,Emission Line,1998.3
422,Nb,Ln,Emission Line,1998.4
53,P,Ka2,Emission Line,2009.5
54,P,Ka1,Emission Line,2010.5
442,Mo,Ll,Emission Line,2013.7
1466,At,Mz,Emission Line,2023.0
391,Y,Lb6,Emission Line,2036.2
1187,W,Mg,Emission Line,2037.5
407,Zr,La2,Emission Line,2041.9
408,Zr,La1,Emission Line,2044.2
1286,Pt,Ma,Emission Line,2047.5
348,Rb,Lg2,Emission Line,2048.7
349,Rb,Lg3,Emission Line,2049.7
1261,Ir,Mb,Emission Line,2052.2
382,Y,Lb4,Emission Line,2062.4
383,Y,Lb3,Emission Line,2074.2
1492,Rn,Mz,Emission Line,2093.0
1211,Re,Mg,Emission Line,2106.5
1312,Au,Ma,Emission Line,2118.4
440,Mo,Ln,Emission Line,2118.7
405,Zr,Lb1,Emission Line,2125.9
1285,Pt,Mb,Emission Line,2127.5
460,Tc,Ll,Emission Line,2133.0
55,P,Kb3,Emission Line,2138.5
56,P,Kb1,Emission Line,2139.5
1518,Fr,Mz,Emission Line,2156.0
425,Nb,La2,Emission Line,2166.0
426,Nb,La1,Emission Line,2168.7
409,Zr,Lb6,Emission Line,2172.4
1235,Os,Mg,Emission Line,2178.5
400,Zr,Lb4,Emission Line,2188.5
1544,Ra,Mz,Emission Line,2190.0
1338,Hg,Ma,Emission Line,2191.0
366,Sr,Lg2,Emission Line,2194.4
367,Sr,Lg3,Emission Line,2195.9
401,Zr,Lb3,Emission Line,2202.2
1311,Au,Mb,Emission Line,2203.4
61,S,Ka3,Emission Line,2241.1
458,Tc,Ln,Emission Line,2249.0
478,Ru,Ll,Emission Line,2251.9
1259,Ir,Mg,Emission Line,2254.7
423,Nb,Lb1,Emission Line,2260.0
1364,Tl,Ma,Emission Line,2266.8
1337,Hg,Mb,Emission Line,2281.0
443,Mo,La2,Emission Line,2288.9
1570,Ac,Mz,Emission Line,2290.0
444,Mo,La1,Emission Line,2292.1
62,S,Ka2,Emission Line,2308.4
63,S,Ka1,Emission Line,2309.5
427,Nb,Lb6,Emission Line,2314.6
418,Nb,Lb4,Emission Line,2321.9
1596,Th,Mz,Emission Line,2323.0
1283,Pt,Mg,Emission Line,2330.4
419,Nb,Lb3,Emission Line,2337.4
1390,Pb,Ma,Emission Line,2342.3
384,Y,Lg2,Emission Line,2348.6
385,Y,Lg3,Emission Line,2349.9
1363,Tl,Mb,Emission Line,2362.8
498,Rh,Ll,Emission Line,2375.9
476,Ru,Ln,Emission Line,2380.9
