Element;Line;Type;Energy
Kr;L?3;Escape Peak (Si);6.6
Si;K?2;Escape Peak (Si);39.2
Si;K?1;Escape Peak (Si);39.8
Li;K?3;Emission Line;49.4
Rb;L?1;Escape Peak (Si);51
Mg;L?3;Emission Line;87.6
Mg;L?4;Emission Line;87.6
Li;K?3;Sum Peak (2x);98.8
Be;K?3;Emission Line;103.5
Sr;L?2;Escape Peak (Si);104
Sr;L?1;Escape Peak (Si);105.8
Be;K?1;Emission Line;108.5
Be;K?2;Emission Line;108.5
Al;L?4;Emission Line;115.8
Al;L?3;Emission Line;115.8
Rb;L?4;Escape Peak (Si);116.3
Rb;L?3;Escape Peak (Si);125.9
Si;K?3;Escape Peak (Si);137
Si;K?1;Escape Peak (Si);137
Si;L?4;Emission Line;147.7
Si;L?3;Emission Line;147.7
Sr;L?1;Escape Peak (Si);171
Mg;L?4;Sum Peak (2x);175.2
Mg;L?3;Sum Peak (2x);175.2
B;K?3;Emission Line;175.4
P;L?4;Emission Line;182
P;L?3;Emission Line;183
B;K?1;Emission Line;183.3
B;K?2;Emission Line;183.3
Be;K?3;Sum Peak (2x);207
Be;K?2;Sum Peak (2x);217
Be;K?1;Sum Peak (2x);217
Y;L?2;Escape Peak (Si);222.3
S;L?4;Emission Line;222.9
S;L?3;Emission Line;223.9
Y;L?1;Escape Peak (Si);224.2
Al;L?3;Sum Peak (2x);231.6
Al;L?4;Sum Peak (2x);231.6
Sr;L?4;Escape Peak (Si);235.7
Sr;L?3;Escape Peak (Si);246
P;K?3;Escape Peak (Si);256.5
Cl;L?4;Emission Line;260
Cl;L?3;Emission Line;260
C;K?3;Emission Line;266.2
C;K?1;Emission Line;277
C;K?2;Emission Line;277
Si;L?4;Sum Peak (2x);295.4
Si;L?3;Sum Peak (2x);295.4
Y;L?1;Escape Peak (Si);298.3
P;K?2;Escape Peak (Si);309.5
Ar;L?4;Emission Line;310.4
P;K?1;Escape Peak (Si);310.5
Ar;L?3;Emission Line;310.6
Zr;L?2;Escape Peak (Si);341.9
Zr;L?1;Escape Peak (Si);344.2
B;K?3;Sum Peak (2x);350.8
K;L?3;Emission Line;360.3
K;L?4;Emission Line;360.3
Y;L?4;Escape Peak (Si);362.4
P;L?4;Sum Peak (2x);364
P;L?3;Sum Peak (2x);366
B;K?2;Sum Peak (2x);366.6
B;K?1;Sum Peak (2x);366.6
N;K?3;Emission Line;372.6
Y;L?3;Escape Peak (Si);374.2
N;K?2;Emission Line;392.4
N;K?1;Emission Line;392.4
Ca;L?3;Emission Line;413
Ca;L?4;Emission Line;413
Zr;L?1;Escape Peak (Si);425.9
P;K?3;Escape Peak (Si);438.5
P;K?1;Escape Peak (Si);439.5
S;L?4;Sum Peak (2x);445.8
S;L?3;Sum Peak (2x);447.8
Ti;L?1;Emission Line;451.8
Ti;L?2;Emission Line;451.8
Ti;L?1;Emission Line;458.2
Nb;L?2;Escape Peak (Si);466
Nb;L?1;Escape Peak (Si);468.7
Sc;L?4;Emission Line;469.7
Sc;L?3;Emission Line;469.7
Zr;L?4;Escape Peak (Si);488.5
O;K?3;Emission Line;501.5
Zr;L?3;Escape Peak (Si);502.2
V;L?2;Emission Line;510.1
V;L?1;Emission Line;510.1
V;L?1;Emission Line;517.8
Cl;L?3;Sum Peak (2x);520
Cl;L?4;Sum Peak (2x);520
