Element,Line,Type,Energy
Hf,Mb,Escape Peak (Si),0.09999999999990905
Hg,Mz,Escape Peak (Si),4.7999999999999545
Kr,Lb3,Escape Peak (Si),6.599999999999909
Zn,Mz,Emission Line,9.2
Tm,Mg,Escape Peak (Si),9.5
Ta,Ma,Escape Peak (Si),11.5
Ga,Mz,Emission Line,16.7
Zn,Mz,Sum Peak (2x),18.4
Ge,Mz,Emission Line,26.8
Ga,Mz,Sum Peak (2x),33.4
As,Mz,Emission Line,38.7
Si,Ka2,Escape Peak (Si),39.200000000000045
Si,Ka1,Escape Peak (Si),39.799999999999955
Mg,Ll,Emission Line,47.21
Mg,Ln,Emission Line,47.6
Li,Ka3,Emission Line,49.4
Rb,Lb1,Escape Peak (Si),51.0
Se,Mz,Emission Line,52.5
Ge,Mz,Sum Peak (2x),53.6
Y,Ln,Escape Peak (Si),64.0
Tl,Mz,Escape Peak (Si),64.5
Br,Mz,Emission Line,67.0
Yb,Mg,Escape Peak (Si),67.59999999999991
Al,Ll,Emission Line,68.5
Al,Ln,Emission Line,68.9
Ta,Mb,Escape Peak (Si),69.5
Rb,Lb6,Escape Peak (Si),73.5
W,Ma,Escape Peak (Si),75.40000000000009
As,Mz,Sum Peak (2x),77.4
Br,Lg3,Escape Peak (Si),79.0
Br,Lg2,Escape Peak (Si),79.0
Kr,Mz,Emission Line,80.9
Mg,Lb4,Emission Line,87.6
Mg,Lb3,Emission Line,87.6
Si,Ll,Emission Line,91.2
Si,Ln,Emission Line,91.8
Zr,Ll,Escape Peak (Si),92.70000000000005
Mg,Ll,Sum Peak (2x),94.42
Mg,Ln,Sum Peak (2x),95.2
Rb,Mz,Emission Line,96.7
Li,Ka3,Sum Peak (2x),98.8
Be,Ka3,Emission Line,103.5
Sr,La2,Escape Peak (Si),104.0
Se,Mz,Sum Peak (2x),105.0
Sr,La1,Escape Peak (Si),105.79999999999995
Be,Ka2,Emission Line,108.5
Be,Ka1,Emission Line,108.5
Sr,Mz,Emission Line,114.4
Al,Lb4,Emission Line,115.8
Al,Lb3,Emission Line,115.8
