Element,Line,Type,Energy
Kr,Lb3,Escape Peak (Si),6.599999999999909
Si,Ka2,Escape Peak (Si),39.200000000000045
Si,Ka1,Escape Peak (Si),39.799999999999955
Li,Ka3,Emission Line,49.4
Rb,Lb1,Escape Peak (Si),51.0
Mg,Lb3,Emission Line,87.6
Mg,Lb4,Emission Line,87.6
Li,Ka3,Sum Peak (2x),98.8
Be,Ka3,Emission Line,103.5
Sr,La2,Escape Peak (Si),104.0
Sr,La1,Escape Peak (Si),105.79999999999995
Be,Ka1,Emission Line,108.5
Be,Ka2,Emission Line,108.5
Al,Lb4,Emission Line,115.8
Al,Lb3,Emission Line,115.8
Rb,Lb4,Escape Peak (Si),116.29999999999995
Rb,Lb3,Escape Peak (Si),125.90000000000009
Si,Kb3,Escape Peak (Si),137.0
Si,Kb1,Escape Peak (Si),137.0
Si,Lb4,Emission Line,147.7
Si,Lb3,Emission Line,147.7
Sr,Lb1,Escape Peak (Si),171.0
Mg,Lb4,Sum Peak (2x),175.2
Mg,Lb3,Sum Peak (2x),175.2
B,Ka3,Emission Line,175.4
P,Lb4,Emission Line,182.0
P,Lb3,Emission Line,183.0
B,Ka1,Emission Line,183.3
B,Ka2,Emission Line,183.3
Be,Ka3,Sum Peak (2x),207.0
Be,Ka2,Sum Peak (2x),217.0
Be,Ka1,Sum Peak (2x),217.0
Y,La2,Escape Peak (Si),222.29999999999995
S,Lb4,Emission Line,222.9
S,Lb3,Emission Line,223.9
Y,La1,Escape Peak (Si),224.20000000000005
Al,Lb3,Sum Peak (2x),231.6
Al,Lb4,Sum Peak (2x),231.6
Sr,Lb4,Escape Peak (Si),235.70000000000005
Sr,Lb3,Escape Peak (Si),246.0
P,Ka3,Escape Peak (Si),256.5
Cl,Lb4,Emission Line,260.0
Cl,Lb3,Emission Line,260.0
C,Ka3,Emission Line,266.2
C,Ka1,Emission Line,277.0
C,Ka2,Emission Line,277.0
Si,Lb4,Sum Peak (2x),295.4
Si,Lb3,Sum Peak (2x),295.4
Y,Lb1,Escape Peak (Si),298.29999999999995
P,Ka2,Escape Peak (Si),309.5
Ar,Lb4,Emission Line,310.4
P,Ka1,Escape Peak (Si),310.5
Ar,Lb3,Emission Line,310.6
Zr,La2,Escape Peak (Si),341.9000000000001
Zr,La1,Escape Peak (Si),344.20000000000005
B,Ka3,Sum Peak (2x),350.8
K,Lb3,Emission Line,360.3
K,Lb4,Emission Line,360.3
Y,Lb4,Escape Peak (Si),362.4000000000001
P,Lb4,Sum Peak (2x),364.0
P,Lb3,Sum Peak (2x),366.0
B,Ka2,Sum Peak (2x),366.6
B,Ka1,Sum Peak (2x),366.6
N,Ka3,Emission Line,372.6
Y,Lb3,Escape Peak (Si),374.1999999999998
N,Ka2,Emission Line,392.4
N,Ka1,Emission Line,392.4
Ca,Lb3,Emission Line,413.0
Ca,Lb4,Emission Line,413.0
Zr,Lb1,Escape Peak (Si),425.9000000000001
P,Kb3,Escape Peak (Si),438.5
P,Kb1,Escape Peak (Si),439.5
S,Lb4,Sum Peak (2x),445.8
S,Lb3,Sum Peak (2x),447.8
Ti,La1,Emission Line,451.8
Ti,La2,Emission Line,451.8
Ti,Lb1,Emission Line,458.2
Nb,La2,Escape Peak (Si),466.0
Nb,La1,Escape Peak (Si),468.6999999999998
Sc,Lb4,Emission Line,469.7
Sc,Lb3,Emission Line,469.7
Zr,Lb4,Escape Peak (Si),488.5
O,Ka3,Emission Line,501.5
Zr,Lb3,Escape Peak (Si),502.1999999999998
V,La2,Emission Line,510.1
V,La1,Emission Line,510.1
V,Lb1,Emission Line,517.8
Cl,Lb3,Sum Peak (2x),520.0
Cl,Lb4,Sum Peak (2x),520.0
O,Ka1,Emission Line,524.9
O,Ka2,Emission Line,524.9
Ti,Lb4,Emission Line,528.3
Ti,Lb3,Emission Line,528.3
C,Ka3,Sum Peak (2x),532.4
S,Ka3,Escape Peak (Si),541.0999999999999
C,Ka1,Sum Peak (2x),554.0
C,Ka2,Sum Peak (2x),554.0
Nb,Lb1,Escape Peak (Si),560.0
Cr,La2,Emission Line,572.1
Cr,La1,Emission Line,572.1
Cr,Lb1,Emission Line,581.8
Mo,La2,Escape Peak (Si),588.9000000000001
V,Lb3,Emission Line,589.5
V,Lb4,Emission Line,589.5
Mo,La1,Escape Peak (Si),592.0999999999999
S,Ka2,Escape Peak (Si),608.4000000000001
S,Ka1,Escape Peak (Si),609.5
Ar,Lb4,Sum Peak (2x),620.8
Ar,Lb3,Sum Peak (2x),621.2
Nb,Lb4,Escape Peak (Si),621.9000000000001
Mn,La1,Emission Line,636.7
Mn,La2,Emission Line,636.7
Nb,Lb3,Escape Peak (Si),637.4000000000001
Mn,Lb1,Emission Line,647.9
F,Ka3,Emission Line,651.7
Cr,Lb4,Emission Line,653.8
Cr,Lb3,Emission Line,653.8
F,Ka1,Emission Line,676.8
F,Ka2,Emission Line,676.8
Mo,Lb1,Escape Peak (Si),693.9000000000001
Fe,La1,Emission Line,704.8
Fe,La2,Emission Line,704.8
Fe,Lb1,Emission Line,717.9
Tc,La2,Escape Peak (Si),719.4000000000001
K,Lb4,Sum Peak (2x),720.6
K,Lb3,Sum Peak (2x),720.6
Mn,Lb4,Emission Line,721.9
Mn,Lb3,Emission Line,721.9
Tc,La1,Escape Peak (Si),723.0999999999999
N,Ka3,Sum Peak (2x),745.2
Mo,Lb4,Escape Peak (Si),754.4000000000001
S,Kb3,Escape Peak (Si),764.0
S,Kb1,Escape Peak (Si),765.0
Mo,Lb3,Escape Peak (Si),772.0
Co,La2,Emission Line,775.1
Co,La1,Emission Line,775.1
N,Ka1,Sum Peak (2x),784.8
N,Ka2,Sum Peak (2x),784.8
Co,Lb1,Emission Line,790.2
Fe,Lb4,Emission Line,791.9
Fe,Lb3,Emission Line,791.9
Ne,Ka3,Emission Line,821.7
Ca,Lb3,Sum Peak (2x),826.0
Ca,Lb4,Sum Peak (2x),826.0
Tc,Lb1,Escape Peak (Si),835.4000000000001
Ne,Ka2,Emission Line,848.5
Ne,Ka1,Emission Line,848.6
Ni,La2,Emission Line,848.7
Ni,La1,Emission Line,848.7
Cl,Ka3,Escape Peak (Si),852.0
Ru,La2,Escape Peak (Si),853.8000000000002
Ru,La1,Escape Peak (Si),858.0
Co,Lb3,Emission Line,865.2
Ni,Lb1,Emission Line,866.0
Co,Lb4,Emission Line,866.2
